    0.131612597073822735E+01    0.116277436069350779E+04   -0.401410776635234079E+01    0.369325282309450927E+03
    0.131568930982570675E+01    0.121888091484035272E+04   -0.414339857553154012E+01    0.369802873110803034E+03
    0.131945829688010385E+01    0.106983091130413254E+04   -0.398861444922802377E+01    0.370438070767348847E+03
    0.131420373665661705E+01    0.140285581780781649E+04   -0.458751597993668092E+01    0.370486821720920716E+03
    0.132027031059006750E+01    0.118289929029545283E+04   -0.453510771532477897E+01    0.370855724988711813E+03
    0.131732068085251663E+01    0.112942092736858467E+04   -0.402135257564979121E+01    0.370950346089941490E+03
    0.132010708875011207E+01    0.113212489389833627E+04   -0.447441235177146801E+01    0.371174428081342853E+03
    0.131028490537218945E+01    0.149206118794098143E+04   -0.464954493715997597E+01    0.371611717439067036E+03
    0.131777693966628107E+01    0.131799172085152122E+04   -0.473491077593778176E+01    0.371710634962491952E+03
    0.131124507453597694E+01    0.146322655323835738E+04   -0.458713272359131707E+01    0.371819400462574038E+03
    0.131800837576594621E+01    0.114157239997223223E+04   -0.430732384485988185E+01    0.371906481968767594E+03
    0.131586341765035453E+01    0.130398881598504590E+04   -0.471337439090732069E+01    0.371931135351389571E+03
    0.131608602631133231E+01    0.139678680787292751E+04   -0.490265401138181645E+01    0.372296305273063240E+03
    0.131445594831128898E+01    0.138514985303509297E+04   -0.482580102843798109E+01    0.372336024299055453E+03
    0.131830763640374626E+01    0.126734087204405205E+04   -0.475044169839263652E+01    0.372433587180633708E+03
    0.131777190909605024E+01    0.119020848993543950E+04   -0.423720505219757726E+01    0.372581982670109085E+03
    0.131156178527486800E+01    0.145166226260048370E+04   -0.472552647048041230E+01    0.372583499264322882E+03
    0.131917739489144847E+01    0.117276401185449959E+04   -0.432462235030622999E+01    0.372594569511252985E+03
    0.131116097600705950E+01    0.154283946244234426E+04   -0.482639923012779626E+01    0.372740055145192173E+03
    0.131608331682846047E+01    0.135160641488425517E+04   -0.484228801011096355E+01    0.372824159863065120E+03
    0.131760157874330264E+01    0.131540506703911615E+04   -0.480174209250831652E+01    0.372836987576425372E+03
    0.131974069500715352E+01    0.108661180992787922E+04   -0.415124086103986034E+01    0.372852075653456836E+03
    0.131391258511152698E+01    0.133083235398198644E+04   -0.459407740678593957E+01    0.373037947160235035E+03
    0.131084696274741375E+01    0.153399021785720925E+04   -0.479029335709531612E+01    0.373110492481906533E+03
    0.131277313006775276E+01    0.146875808388041605E+04   -0.488053961190533858E+01    0.373116609841187085E+03
    0.131792863840336771E+01    0.124550050228559849E+04   -0.467858815268860795E+01    0.373185978499606733E+03
    0.131317636158922868E+01    0.146140343274515271E+04   -0.472069908143579475E+01    0.373234091643239083E+03
    0.131707615572896719E+01    0.120131711064913975E+04   -0.444775172894212378E+01    0.373250741651078442E+03
    0.131835257531733019E+01    0.118934117358730282E+04   -0.430406509887619393E+01    0.373327219707264021E+03
    0.131137593599459401E+01    0.145547527181943747E+04   -0.469570284664117832E+01    0.373346651656508698E+03
    0.131466800656163607E+01    0.144754886827551923E+04   -0.486877823054611625E+01    0.373492191316296953E+03
    0.131203150540470870E+01    0.152810558250317149E+04   -0.489260246581701796E+01    0.373497452987700740E+03
    0.131865150597277481E+01    0.111106811532651818E+04   -0.415795900685444586E+01    0.373561102736251883E+03
