Nested Sampling Global Log-Evidence           :    0.433160269016308007E+03  +/-    0.404225744471410908E+00

Dim No.       Mean        Sigma
   1    0.132769504662863302E+01    0.256752999447895083E-02
   2    0.135583591180122971E+04    0.673004392876406428E+02
   3   -0.564493297342189226E+01    0.312902764239320341E+00
   4   -0.730093766689429202E+01    0.339902754234127580E+00
   5   -0.395227859905812418E+01    0.192177803924238416E+00
   6   -0.496312142983010006E+03    0.481694812384368021E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.132831336926410670E+01
   2    0.134532185866564078E+04
   3   -0.551627481469896708E+01
   4   -0.720031519502765693E+01
   5   -0.395371576398832758E+01
   6   -0.515920441354525565E+03

MAP Parameters
Dim No.        Parameter
   1    0.132831336926410670E+01
   2    0.134532185866564078E+04
   3   -0.551627481469896708E+01
   4   -0.720031519502765693E+01
   5   -0.395371576398832758E+01
   6   -0.515920441354525565E+03
