Nested Sampling Global Log-Evidence           :    0.432658254828988447E+03  +/-    0.412220367710418090E+00

Dim No.       Mean        Sigma
   1    0.132925595858813561E+01    0.159279712676360340E-01
   2    0.135880897277235226E+04    0.700357545933282069E+02
   3   -0.567950020459040594E+01    0.299644408872490609E+00
   4   -0.732128061821272969E+01    0.328324195734613800E+00
   5   -0.396027788405676207E+01    0.176786908251372776E+00
   6   -0.530775422967177519E+03    0.347127393032602356E+03
   7   -0.381434521412381358E+02    0.340522800797015577E+03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.135045875369758073E+01
   2    0.131927390557912531E+04
   3   -0.571998475864228162E+01
   4   -0.723282381799938001E+01
   5   -0.410659261981240231E+01
   6   -0.994763784650396133E+03
   7   -0.446576359562059224E+03

MAP Parameters
Dim No.        Parameter
   1    0.135045875369758073E+01
   2    0.131927390557912531E+04
   3   -0.571998475864228162E+01
   4   -0.723282381799938001E+01
   5   -0.410659261981240231E+01
   6   -0.994763784650396133E+03
   7   -0.446576359562059224E+03
