    0.311174806404251513E+04   -0.772344196380183146E+01    0.294820643500155732E+01    0.918034020509142068E+00    0.221839131091057169E+03   -0.705532721975864519E+01    0.946812781011275639E+01   -0.402681339914950868E+07
    0.258979030540673466E+04   -0.705381257040991105E+01    0.166082877653275363E+01    0.917298541072939178E+00    0.215520440691077852E+03   -0.279708036936431981E+00    0.657750141994066873E+01   -0.402681194236648455E+07
    0.392035633289917587E+04   -0.609170322602709291E+01    0.771902151562597338E+00    0.918031532079922052E+00    0.219420759210758462E+03   -0.128289179222347016E+01    0.317258493676583386E+01   -0.402681189301000116E+07
    0.230402439464751160E+04   -0.414105484305259353E+01    0.697043752841417952E+00    0.917604519007145125E+00    0.225172787385371521E+03   -0.252448567335102680E+01    0.198947270372494156E+01   -0.402681169249533024E+07
    0.242032908646225587E+04   -0.736510285979579038E+01    0.468844394787323893E+01    0.917977627541049501E+00    0.215711462105923999E+03   -0.356237470433418757E+01    0.123713961199601972E+02   -0.402681162853507139E+07
    0.288833342460176073E+04   -0.713632299462293318E+01    0.209992571371175041E+01    0.917375331319384979E+00    0.208315902371799780E+03   -0.276242806141461905E+01    0.122020438532212232E+02   -0.402681115300069749E+07
    0.385537377111949172E+04   -0.738547081500635283E+01    0.206441846116358363E+01    0.918394180890521716E+00    0.205943908563379239E+03   -0.394656084898422943E+01    0.840616205863781119E+01   -0.402681060599164199E+07
    0.409346391873470793E+04   -0.597221389081486187E+01    0.615057031390755959E+00    0.918116376321404304E+00    0.216529286205531207E+03   -0.577566529171154563E+01    0.449074104910626559E+01   -0.402681037273661373E+07
    0.246034439071358793E+04   -0.621849045738089501E+01    0.208419063879122834E+01    0.918580524425412159E+00    0.224429588515609936E+03   -0.367850463053136156E+01    0.732023817682708167E+01   -0.402681034385184757E+07
    0.227000627321765660E+04   -0.713919138760617678E+01    0.292044935572764741E+01    0.918030210689089965E+00    0.204990866734139331E+03   -0.932334652462449398E+00    0.395600917950187503E+01   -0.402681026157851145E+07
    0.364034770353394106E+04   -0.772221746265783970E+01    0.119692530276036768E+01    0.918230365659332581E+00    0.219349332677351185E+03   -0.308724664923196279E+01    0.179650160962034811E+01   -0.402681016131829470E+07
    0.286004327864802053E+04   -0.647376034652788768E+01    0.129874910531366949E+01    0.918360224923740920E+00    0.224477202624694570E+03   -0.179631517391149309E+01    0.102480124101106256E+02   -0.402680990929017495E+07
    0.375269216796847877E+04   -0.785357453923893356E+01    0.169341519927983963E+01    0.917742908338923469E+00    0.226000709910011324E+03    0.443293081467315275E+00    0.969544939154504881E+01   -0.402680975040166778E+07
    0.441952921120433894E+04   -0.641198539699093395E+01    0.945643411099205022E+00    0.917520111295451857E+00    0.220047217597700353E+03   -0.639209506724272458E+00    0.670313938595458758E+01   -0.402680952289941721E+07
    0.344093524694893404E+04   -0.704654439535073251E+01    0.129570603799244899E+01    0.917261753532990776E+00    0.228641294615608672E+03   -0.396931065412770856E+01    0.115529473092593751E+02   -0.402680939675959107E+07
    0.398557048359092369E+04   -0.675590033898071241E+01    0.133544931457778571E+01    0.918268459077031585E+00    0.216256204921905578E+03   -0.517320064148097103E+01    0.119646421625797288E+02   -0.402680935469929362E+07
    0.363572236782193295E+04   -0.827440940826569005E+01    0.165239665532692803E+01    0.917528303151813995E+00    0.212258809162021578E+03   -0.282803074310936076E+01    0.628597904191811807E+01   -0.402680927406540373E+07
    0.371997923426510897E+04   -0.680180620607803021E+01    0.148973205396951247E+01    0.917097688197303862E+00    0.215276556471230947E+03   -0.324951939946899948E+01    0.613699644217914031E+01   -0.402680923349999404E+07
