# Optical Properties of organic hazes made under water-rich (1000x solar), 300 K exoplanet conditions
# Citation: He, C., Radke, M.J., Moran, S.E., Hörst, S.M., Lewis, N.K., Moses, J.I., Batalha, N.E., Kempton, E.M.-R., Marley, M.S., Morley, C.V., Valenti, J.A., Vuitton, V. Optical Properties of Organic Haze Analogues in Water-rich Exoplanet Atmospheres Observable with JWST, Nature Astronomy, resubmitted

#index wavelength(microns) n	k
103 4.00796500e-01 1.80144820e+00 1.29973600e-03
104 4.00804200e-01 1.80132510e+00 1.29650800e-03
105 4.00811900e-01 1.80121690e+00 1.29355500e-03
106 4.00819700e-01 1.80114250e+00 1.29261300e-03
107 4.00827400e-01 1.80110090e+00 1.29435700e-03
108 4.00835200e-01 1.80107540e+00 1.29912800e-03
109 4.00842900e-01 1.80104490e+00 1.30497800e-03
110 4.00850700e-01 1.80099490e+00 1.30942000e-03
111 4.00858400e-01 1.80092930e+00 1.31260000e-03
112 4.00866200e-01 1.80086380e+00 1.31490700e-03
113 4.00873900e-01 1.80081650e+00 1.31796600e-03
114 4.00881700e-01 1.80079400e+00 1.32204100e-03
115 4.00889400e-01 1.80078820e+00 1.32596100e-03
116 4.00897200e-01 1.80078460e+00 1.32766100e-03
117 4.00904900e-01 1.80077580e+00 1.32747700e-03
118 4.00912700e-01 1.80076540e+00 1.32629300e-03
119 4.00920400e-01 1.80075680e+00 1.32514700e-03
120 4.00928200e-01 1.80074820e+00 1.32422400e-03
121 4.00935900e-01 1.80073090e+00 1.32409300e-03
122 4.00943700e-01 1.80069730e+00 1.32439600e-03
123 4.00951400e-01 1.80064960e+00 1.32610600e-03
124 4.00959200e-01 1.80060070e+00 1.32908400e-03
125 4.00966900e-01 1.80055770e+00 1.33346300e-03
126 4.00974700e-01 1.80051980e+00 1.33689100e-03
127 4.00982400e-01 1.80048230e+00 1.33872100e-03
128 4.00990200e-01 1.80044120e+00 1.33852500e-03
129 4.00997900e-01 1.80039640e+00 1.33818900e-03
130 4.01005700e-01 1.80034780e+00 1.33815200e-03
131 4.01013400e-01 1.80029720e+00 1.33828300e-03
132 4.01021200e-01 1.80024850e+00 1.33634700e-03
133 4.01028900e-01 1.80021320e+00 1.33125200e-03
134 4.01036700e-01 1.80020790e+00 1.32204900e-03
135 4.01044400e-01 1.80023700e+00 1.31122200e-03
136 4.01052200e-01 1.80028070e+00 1.30170500e-03
137 4.01060000e-01 1.80030710e+00 1.29702400e-03
138 4.01067700e-01 1.80028790e+00 1.29692800e-03
139 4.01075500e-01 1.80021000e+00 1.29968800e-03
140 4.01083200e-01 1.80009120e+00 1.30284300e-03
141 4.01091000e-01 1.79996580e+00 1.30313600e-03
142 4.01098700e-01 1.79986100e+00 1.30110500e-03
143 4.01106500e-01 1.79978430e+00 1.29783400e-03
144 4.01114300e-01 1.79972680e+00 1.29315900e-03
145 4.01122000e-01 1.79967810e+00 1.28685700e-03
146 4.01129800e-01 1.79963400e+00 1.27831900e-03
147 4.01137500e-01 1.79959910e+00 1.26774600e-03
148 4.01145300e-01 1.79957830e+00 1.25584800e-03
149 4.01153000e-01 1.79957260e+00 1.24485300e-03
150 4.01160800e-01 1.79957520e+00 1.23656000e-03
151 4.01168600e-01 1.79957830e+00 1.23278700e-03
152 4.01176300e-01 1.79957730e+00 1.23412900e-03
153 4.01184100e-01 1.79956820e+00 1.24037400e-03
154 4.01191800e-01 1.79954360e+00 1.25041500e-03
155 4.01199600e-01 1.79949810e+00 1.26257100e-03
156 4.01207400e-01 1.79943730e+00 1.27601600e-03
157 4.01215100e-01 1.79937040e+00 1.28867800e-03
158 4.01222900e-01 1.79931000e+00 1.30040600e-03
159 4.01230600e-01 1.79926550e+00 1.31184500e-03
160 4.01238400e-01 1.79922910e+00 1.32453600e-03
161 4.01246200e-01 1.79917890e+00 1.33990100e-03
162 4.01253900e-01 1.79909690e+00 1.35543600e-03
163 4.01261700e-01 1.79898110e+00 1.36789100e-03
164 4.01269500e-01 1.79884970e+00 1.37489200e-03
165 4.01277200e-01 1.79873530e+00 1.37800700e-03
