# Optical Properties of organic hazes made under water-rich (1000x solar), 400 K exoplanet conditions
# Citation: He, C., Radke, M.J., Moran, S.E., Hörst, S.M., Lewis, N.K., Moses, J.I., Batalha, N.E., Kempton, E.M.-R., Marley, M.S., Morley, C.V., Valenti, J.A., Vuitton, V. Optical Properties of Organic Haze Analogues in Water-rich Exoplanet Atmospheres Observable with JWST, Nature Astronomy, resubmitted
#index wavelength(microns) n	k
103 4.00796500e-01 1.82271450e+00 2.61318000e-03
104 4.00804200e-01 1.82256970e+00 2.62553800e-03
105 4.00811900e-01 1.82237050e+00 2.65310900e-03
106 4.00819700e-01 1.82216310e+00 2.68452300e-03
107 4.00827400e-01 1.82202440e+00 2.71160900e-03
108 4.00835200e-01 1.82199390e+00 2.73127500e-03
109 4.00842900e-01 1.82203060e+00 2.74487400e-03
110 4.00850700e-01 1.82205810e+00 2.75175200e-03
111 4.00858400e-01 1.82204430e+00 2.74668600e-03
112 4.00866200e-01 1.82201010e+00 2.73017100e-03
113 4.00873900e-01 1.82197590e+00 2.71261000e-03
114 4.00881700e-01 1.82193090e+00 2.70739300e-03
115 4.00889400e-01 1.82183870e+00 2.72018100e-03
116 4.00897200e-01 1.82170020e+00 2.74094400e-03
117 4.00904900e-01 1.82157350e+00 2.75571900e-03
118 4.00912700e-01 1.82154920e+00 2.75485300e-03
119 4.00920400e-01 1.82166750e+00 2.73956900e-03
120 4.00928200e-01 1.82184880e+00 2.72511300e-03
121 4.00935900e-01 1.82197320e+00 2.71677900e-03
122 4.00943700e-01 1.82196100e+00 2.71537400e-03
123 4.00951400e-01 1.82182200e+00 2.71596900e-03
124 4.00959200e-01 1.82163660e+00 2.71280200e-03
125 4.00966900e-01 1.82147770e+00 2.70961700e-03
126 4.00974700e-01 1.82139040e+00 2.71221400e-03
127 4.00982400e-01 1.82137540e+00 2.72466400e-03
128 4.00990200e-01 1.82139070e+00 2.74532400e-03
129 4.00997900e-01 1.82140170e+00 2.76514100e-03
130 4.01005700e-01 1.82139170e+00 2.77686900e-03
131 4.01013400e-01 1.82136220e+00 2.77861100e-03
132 4.01021200e-01 1.82133060e+00 2.77509700e-03
133 4.01028900e-01 1.82128170e+00 2.77372000e-03
134 4.01036700e-01 1.82119110e+00 2.77610300e-03
135 4.01044400e-01 1.82106030e+00 2.78193500e-03
136 4.01052200e-01 1.82091100e+00 2.78503100e-03
137 4.01060000e-01 1.82078200e+00 2.78044600e-03
138 4.01067700e-01 1.82071090e+00 2.76907200e-03
139 4.01075500e-01 1.82071740e+00 2.75586200e-03
140 4.01083200e-01 1.82079740e+00 2.74528200e-03
141 4.01091000e-01 1.82091000e+00 2.73928100e-03
142 4.01098700e-01 1.82097930e+00 2.73285000e-03
143 4.01106500e-01 1.82095760e+00 2.71380500e-03
144 4.01114300e-01 1.82085360e+00 2.68118000e-03
145 4.01122000e-01 1.82072110e+00 2.64317800e-03
146 4.01129800e-01 1.82060710e+00 2.61767300e-03
147 4.01137500e-01 1.82050990e+00 2.62270300e-03
148 4.01145300e-01 1.82041670e+00 2.65535500e-03
149 4.01153000e-01 1.82030990e+00 2.70285500e-03
150 4.01160800e-01 1.82018930e+00 2.74211100e-03
151 4.01168600e-01 1.82008780e+00 2.75857100e-03
152 4.01176300e-01 1.82005120e+00 2.75381000e-03
153 4.01184100e-01 1.82010990e+00 2.73809100e-03
154 4.01191800e-01 1.82025820e+00 2.72545000e-03
155 4.01199600e-01 1.82042770e+00 2.72357900e-03
156 4.01207400e-01 1.82051350e+00 2.73204300e-03
157 4.01215100e-01 1.82047070e+00 2.74742200e-03
158 4.01222900e-01 1.82034530e+00 2.76544700e-03
159 4.01230600e-01 1.82023800e+00 2.78217900e-03
160 4.01238400e-01 1.82020460e+00 2.79822000e-03
161 4.01246200e-01 1.82022270e+00 2.80874100e-03
162 4.01253900e-01 1.82022750e+00 2.81232100e-03
163 4.01261700e-01 1.82017140e+00 2.81094400e-03
164 4.01269500e-01 1.82008610e+00 2.80453600e-03
165 4.01277200e-01 1.82002350e+00 2.79652100e-03
166 4.01285000e-01 1.81999160e+00 2.78844000e-03
167 4.01292700e-01 1.81996330e+00 2.77966400e-03
168 4.01300500e-01 1.81988500e+00 2.77712400e-03
169 4.01308300e-01 1.81972770e+00 2.78350100e-03
170 4.01316000e-01 1.81953960e+00 2.79637300e-03
171 4.01323800e-01 1.81940810e+00 2.81171200e-03
172 4.01331600e-01 1.81942110e+00 2.82099600e-03
173 4.01339300e-01 1.81961200e+00 2.82585200e-03
174 4.01347100e-01 1.81991080e+00 2.83036400e-03
175 4.01354900e-01 1.82017530e+00 2.83505300e-03
176 4.01362600e-01 1.82028700e+00 2.83748000e-03
177 4.01370400e-01 1.82022960e+00 2.83351400e-03
178 4.01378200e-01 1.82006410e+00 2.82989400e-03
179 4.01385900e-01 1.81986160e+00 2.83637000e-03
180 4.01393700e-01 1.81966920e+00 2.85417200e-03
181 4.01401500e-01 1.81951650e+00 2.87417800e-03
182 4.01409200e-01 1.81941380e+00 2.87576400e-03
183 4.01417000e-01 1.81935530e+00 2.84888400e-03
184 4.01424800e-01 1.81932650e+00 2.80137600e-03
185 4.01432600e-01 1.81931090e+00 2.75055600e-03
186 4.01440300e-01 1.81930210e+00 2.71807600e-03
187 4.01448100e-01 1.81929800e+00 2.71052300e-03
188 4.01455900e-01 1.81926660e+00 2.72183200e-03
189 4.01463600e-01 1.81914730e+00 2.74285300e-03
190 4.01471400e-01 1.81892040e+00 2.76160000e-03
191 4.01479200e-01 1.81862890e+00 2.77515000e-03
192 4.01486900e-01 1.81835510e+00 2.78820300e-03
193 4.01494700e-01 1.81818780e+00 2.80203700e-03
194 4.01502500e-01 1.81815390e+00 2.81913100e-03
195 4.01510300e-01 1.81821630e+00 2.83639900e-03
196 4.01518000e-01 1.81832060e+00 2.84742200e-03
197 4.01525800e-01 1.81839720e+00 2.85321100e-03
198 4.01533600e-01 1.81837970e+00 2.85058300e-03
199 4.01541400e-01 1.81825300e+00 2.84043400e-03
200 4.01549100e-01 1.81807470e+00 2.82678800e-03
201 4.01556900e-01 1.81794730e+00 2.81030500e-03
202 4.01564700e-01 1.81794300e+00 2.79789700e-03
203 4.01572500e-01 1.81806390e+00 2.78951300e-03
204 4.01580200e-01 1.81825630e+00 2.78071500e-03
205 4.01588000e-01 1.81843680e+00 2.77041800e-03
206 4.01595800e-01 1.81855710e+00 2.75705100e-03
207 4.01603600e-01 1.81861240e+00 2.74966900e-03
208 4.01611300e-01 1.81860530e+00 2.75657600e-03
209 4.01619100e-01 1.81854880e+00 2.77488600e-03
210 4.01626900e-01 1.81844980e+00 2.79459300e-03
211 4.01634700e-01 1.81832180e+00 2.80448300e-03
212 4.01642400e-01 1.81819340e+00 2.79972100e-03
213 4.01650200e-01 1.81808110e+00 2.78555000e-03
214 4.01658000e-01 1.81799340e+00 2.77845600e-03
215 4.01665800e-01 1.81791760e+00 2.78684500e-03
216 4.01673600e-01 1.81784250e+00 2.81190400e-03
217 4.01681300e-01 1.81779230e+00 2.84123600e-03
218 4.01689100e-01 1.81779870e+00 2.85831900e-03
219 4.01696900e-01 1.81788710e+00 2.85697800e-03
220 4.01704700e-01 1.81803560e+00 2.84265100e-03
221 4.01712500e-01 1.81815830e+00 2.83500500e-03
222 4.01720200e-01 1.81817620e+00 2.84727800e-03
223 4.01728000e-01 1.81808040e+00 2.87580000e-03
224 4.01735800e-01 1.81792640e+00 2.90487100e-03
225 4.01743600e-01 1.81777610e+00 2.91636500e-03
226 4.01751400e-01 1.81763930e+00 2.90079900e-03
227 4.01759100e-01 1.81746840e+00 2.86686900e-03
228 4.01766900e-01 1.81722480e+00 2.82828700e-03
229 4.01774700e-01 1.81693410e+00 2.79648500e-03
