PRESS O O2 H2O OH CO CH4 CH3 C2H6 NO NO2 H2S SO SO2 OCS O3 N2O
2.123E-04 4.200E-07 2.100E-01 3.199E-06 1.176E-09 3.954E-08 2.064E-07 4.028E-16 3.689E-20 2.132E-09 4.989E-12 2.400E-29 8.046E-18 9.096E-16 4.324E-32 1.412E-06 3.082E-09
1.965E-04 4.342E-07 2.100E-01 3.186E-06 1.254E-09 4.196E-08 2.059E-07 4.047E-16 3.751E-20 2.053E-09 4.510E-12 3.276E-29 9.650E-18 9.056E-16 4.748E-32 1.315E-06 2.965E-09
1.818E-04 4.490E-07 2.100E-01 3.173E-06 1.335E-09 4.462E-08 2.055E-07 4.063E-16 3.809E-20 1.980E-09 4.117E-12 4.460E-29 1.159E-17 9.015E-16 5.188E-32 1.225E-06 2.856E-09
1.680E-04 4.649E-07 2.100E-01 3.160E-06 1.422E-09 4.755E-08 2.052E-07 4.078E-16 3.864E-20 1.914E-09 3.794E-12 6.041E-29 1.391E-17 8.973E-16 5.637E-32 1.143E-06 2.753E-09
1.551E-04 4.820E-07 2.100E-01 3.146E-06 1.512E-09 5.078E-08 2.048E-07 4.097E-16 3.915E-20 1.854E-09 3.525E-12 8.120E-29 1.667E-17 8.930E-16 6.085E-32 1.067E-06 2.656E-09
1.431E-04 5.008E-07 2.100E-01 3.131E-06 1.608E-09 5.433E-08 2.045E-07 4.120E-16 3.963E-20 1.800E-09 3.301E-12 1.081E-28 1.990E-17 8.883E-16 6.521E-32 9.969E-07 2.564E-09
1.318E-04 5.216E-07 2.100E-01 3.115E-06 1.708E-09 5.824E-08 2.042E-07 4.153E-16 4.009E-20 1.751E-09 3.111E-12 1.422E-28 2.359E-17 8.834E-16 6.936E-32 9.317E-07 2.478E-09
1.213E-04 5.445E-07 2.100E-01 3.099E-06 1.812E-09 6.254E-08 2.040E-07 4.193E-16 4.053E-20 1.708E-09 2.948E-12 1.846E-28 2.777E-17 8.782E-16 7.317E-32 8.712E-07 2.397E-09
1.115E-04 5.702E-07 2.100E-01 3.082E-06 1.922E-09 6.727E-08 2.037E-07 4.250E-16 4.094E-20 1.670E-09 2.807E-12 2.361E-28 3.234E-17 8.727E-16 7.656E-32 8.139E-07 2.319E-09
1.024E-04 5.986E-07 2.100E-01 3.064E-06 2.036E-09 7.247E-08 2.035E-07 4.300E-16 4.132E-20 1.637E-09 2.684E-12 2.974E-28 3.732E-17 8.670E-16 7.944E-32 7.606E-07 2.246E-09
9.390E-05 6.309E-07 2.100E-01 3.044E-06 2.156E-09 7.820E-08 2.033E-07 4.369E-16 4.169E-20 1.609E-09 2.573E-12 3.685E-28 4.249E-17 8.612E-16 8.178E-32 7.092E-07 2.176E-09
8.604E-05 6.664E-07 2.100E-01 3.024E-06 2.280E-09 8.449E-08 2.031E-07 4.446E-16 4.204E-20 1.585E-09 2.474E-12 4.501E-28 4.791E-17 8.553E-16 8.351E-32 6.611E-07 2.110E-09
7.877E-05 7.064E-07 2.100E-01 3.003E-06 2.411E-09 9.141E-08 2.029E-07 4.546E-16 4.236E-20 1.566E-09 2.383E-12 5.420E-28 5.343E-17 8.493E-16 8.464E-32 6.154E-07 2.047E-09
7.204E-05 7.507E-07 2.100E-01 2.981E-06 2.546E-09 9.901E-08 2.027E-07 4.652E-16 4.266E-20 1.552E-09 2.300E-12 6.448E-28 5.912E-17 8.433E-16 8.512E-32 5.730E-07 1.987E-09
6.583E-05 7.999E-07 2.100E-01 2.958E-06 2.686E-09 1.074E-07 2.025E-07 4.766E-16 4.294E-20 1.542E-09 2.224E-12 7.585E-28 6.495E-17 8.371E-16 8.495E-32 5.338E-07 1.929E-09
6.009E-05 8.542E-07 2.100E-01 2.933E-06 2.828E-09 1.165E-07 2.023E-07 4.876E-16 4.319E-20 1.538E-09 2.154E-12 8.836E-28 7.100E-17 8.308E-16 8.411E-32 4.984E-07 1.874E-09
5.480E-05 9.145E-07 2.100E-01 2.907E-06 2.974E-09 1.265E-07 2.022E-07 4.986E-16 4.342E-20 1.538E-09 2.088E-12 1.020E-27 7.723E-17 8.244E-16 8.262E-32 4.664E-07 1.821E-09
4.991E-05 9.805E-07 2.100E-01 2.880E-06 3.120E-09 1.375E-07 2.020E-07 5.070E-16 4.362E-20 1.543E-09 2.028E-12 1.167E-27 8.376E-17 8.177E-16 8.054E-32 4.388E-07 1.771E-09
4.541E-05 1.054E-06 2.100E-01 2.851E-06 3.266E-09 1.496E-07 2.018E-07 5.150E-16 4.380E-20 1.554E-09 1.972E-12 1.324E-27 9.044E-17 8.109E-16 7.799E-32 4.140E-07 1.723E-09
4.125E-05 1.134E-06 2.100E-01 2.821E-06 3.412E-09 1.627E-07 2.016E-07 5.193E-16 4.395E-20 1.571E-09 1.921E-12 1.491E-27 9.736E-17 8.039E-16 7.517E-32 3.932E-07 1.678E-09
3.742E-05 1.223E-06 2.100E-01 2.789E-06 3.559E-09 1.770E-07 2.014E-07 5.220E-16 4.408E-20 1.593E-09 1.874E-12 1.668E-27 1.043E-16 7.969E-16 7.240E-32 3.747E-07 1.634E-09
3.389E-05 1.320E-06 2.100E-01 2.756E-06 3.718E-09 1.926E-07 2.012E-07 5.218E-16 4.418E-20 1.623E-09 1.839E-12 1.857E-27 1.109E-16 7.903E-16 7.011E-32 3.576E-07 1.593E-09
3.066E-05 1.449E-06 2.100E-01 2.721E-06 3.909E-09 2.098E-07 2.010E-07 5.502E-16 4.426E-20 1.659E-09 1.785E-12 2.057E-27 1.169E-16 7.843E-16 6.889E-32 3.267E-07 1.553E-09
2.773E-05 1.599E-06 2.100E-01 2.683E-06 4.118E-09 2.287E-07 2.008E-07 5.862E-16 4.431E-20 1.704E-09 1.732E-12 2.274E-27 1.227E-16 7.785E-16 6.866E-32 2.944E-07 1.515E-09
2.509E-05 1.769E-06 2.100E-01 2.643E-06 4.333E-09 2.497E-07 2.006E-07 6.210E-16 4.434E-20 1.759E-09 1.684E-12 2.511E-27 1.288E-16 7.724E-16 6.922E-32 2.656E-07 1.478E-09
2.269E-05 1.961E-06 2.100E-01 2.601E-06 4.549E-09 2.728E-07 2.003E-07 6.538E-16 4.434E-20 1.823E-09 1.638E-12 2.767E-27 1.353E-16 7.660E-16 7.046E-32 2.401E-07 1.442E-09
2.053E-05 2.182E-06 2.100E-01 2.555E-06 4.762E-09 2.984E-07 2.001E-07 6.834E-16 4.431E-20 1.899E-09 1.592E-12 3.043E-27 1.423E-16 7.589E-16 7.229E-32 2.177E-07 1.407E-09
1.857E-05 2.436E-06 2.100E-01 2.508E-06 4.970E-09 3.266E-07 1.998E-07 7.084E-16 4.425E-20 1.988E-09 1.547E-12 3.339E-27 1.499E-16 7.513E-16 7.467E-32 1.979E-07 1.374E-09
1.680E-05 2.727E-06 2.100E-01 2.457E-06 5.172E-09 3.577E-07 1.995E-07 7.271E-16 4.417E-20 2.091E-09 1.501E-12 3.667E-27 1.581E-16 7.432E-16 7.757E-32 1.802E-07 1.341E-09
1.519E-05 3.053E-06 2.100E-01 2.404E-06 5.375E-09 3.919E-07 1.992E-07 7.377E-16 4.405E-20 2.209E-09 1.462E-12 4.054E-27 1.666E-16 7.347E-16 8.101E-32 1.640E-07 1.309E-09
1.374E-05 3.395E-06 2.100E-01 2.348E-06 5.624E-09 4.295E-07 1.988E-07 7.392E-16 4.391E-20 2.345E-09 1.446E-12 4.562E-27 1.743E-16 7.270E-16 8.505E-32 1.482E-07 1.279E-09
1.243E-05 3.729E-06 2.100E-01 2.289E-06 6.015E-09 4.708E-07 1.984E-07 7.327E-16 4.375E-20 2.501E-09 1.477E-12 5.270E-27 1.798E-16 7.215E-16 8.983E-32 1.320E-07 1.249E-09
1.125E-05 4.091E-06 2.100E-01 2.226E-06 6.646E-09 5.163E-07 1.980E-07 7.226E-16 4.356E-20 2.678E-09 1.556E-12 6.149E-27 1.830E-16 7.184E-16 9.570E-32 1.172E-07 1.220E-09
1.017E-05 4.787E-06 2.100E-01 2.157E-06 7.323E-09 5.663E-07 1.976E-07 7.087E-16 4.335E-20 2.876E-09 1.551E-12 6.741E-27 1.895E-16 7.119E-16 1.032E-31 1.104E-07 1.192E-09
9.205E-06 6.786E-06 2.100E-01 2.079E-06 7.128E-09 6.216E-07 1.971E-07 6.707E-16 4.312E-20 3.082E-09 1.182E-12 6.036E-27 2.137E-16 6.877E-16 1.130E-31 1.244E-07 1.165E-09
8.327E-06 1.216E-05 2.100E-01 1.993E-06 5.582E-09 6.824E-07 1.966E-07 5.995E-16 4.287E-20 3.259E-09 6.253E-13 4.001E-27 2.678E-16 6.336E-16 1.252E-31 1.748E-07 1.138E-09
7.534E-06 2.404E-05 2.100E-01 1.904E-06 3.849E-09 7.487E-07 1.960E-07 5.236E-16 4.261E-20 3.334E-09 3.012E-13 2.122E-27 3.437E-16 5.578E-16 1.391E-31 2.709E-07 1.113E-09
6.816E-06 4.607E-05 2.100E-01 1.816E-06 2.653E-09 8.206E-07 1.954E-07 4.578E-16 4.232E-20 3.241E-09 1.732E-13 1.002E-27 4.229E-16 4.785E-16 1.532E-31 4.103E-07 1.088E-09
6.166E-06 8.232E-05 2.100E-01 1.730E-06 1.916E-09 8.982E-07 1.947E-07 4.028E-16 4.201E-20 2.964E-09 1.175E-13 4.469E-28 4.930E-16 4.084E-16 1.661E-31 5.846E-07 1.063E-09
5.579E-06 1.372E-04 2.099E-01 1.648E-06 1.454E-09 9.819E-07 1.940E-07 3.568E-16 4.168E-20 2.556E-09 8.457E-14 1.930E-28 5.498E-16 3.517E-16 1.767E-31 7.836E-07 1.040E-09
5.047E-06 2.155E-04 2.099E-01 1.569E-06 1.146E-09 1.072E-06 1.932E-07 3.181E-16 4.134E-20 2.111E-09 6.118E-14 8.178E-29 5.933E-16 3.081E-16 1.844E-31 9.967E-07 1.017E-09
4.567E-06 3.221E-04 2.098E-01 1.493E-06 9.289E-10 1.169E-06 1.924E-07 2.851E-16 4.098E-20 1.708E-09 4.422E-14 3.419E-29 6.258E-16 2.756E-16 1.892E-31 1.214E-06 9.943E-10
4.132E-06 4.624E-04 2.098E-01 1.421E-06 7.668E-10 1.274E-06 1.915E-07 2.566E-16 4.060E-20 1.384E-09 3.224E-14 1.416E-29 6.498E-16 2.517E-16 1.910E-31 1.426E-06 9.726E-10
3.738E-06 6.414E-04 2.097E-01 1.352E-06 6.405E-10 1.386E-06 1.905E-07 2.318E-16 4.020E-20 1.134E-09 2.386E-14 5.816E-30 6.674E-16 2.340E-16 1.903E-31 1.625E-06 9.515E-10
3.383E-06 8.643E-04 2.096E-01 1.287E-06 5.391E-10 1.508E-06 1.895E-07 2.099E-16 3.980E-20 9.416E-10 1.791E-14 2.376E-30 6.807E-16 2.208E-16 1.876E-31 1.804E-06 9.309E-10
3.061E-06 1.138E-03 2.094E-01 1.224E-06 4.555E-10 1.640E-06 1.884E-07 1.904E-16 3.938E-20 7.886E-10 1.357E-14 9.633E-31 6.910E-16 2.105E-16 1.833E-31 1.960E-06 9.109E-10
2.769E-06 1.469E-03 2.093E-01 1.164E-06 3.857E-10 1.785E-06 1.871E-07 1.729E-16 3.894E-20 6.638E-10 1.034E-14 3.865E-31 6.993E-16 2.021E-16 1.779E-31 2.093E-06 8.912E-10
2.506E-06 1.865E-03 2.091E-01 1.107E-06 3.269E-10 1.943E-06 1.858E-07 1.570E-16 3.848E-20 5.602E-10 7.899E-15 1.536E-31 7.064E-16 1.950E-16 1.717E-31 2.199E-06 8.718E-10
2.267E-06 2.333E-03 2.088E-01 1.051E-06 2.769E-10 2.116E-06 1.844E-07 1.427E-16 3.801E-20 4.734E-10 6.042E-15 6.050E-32 7.129E-16 1.885E-16 1.652E-31 2.277E-06 8.527E-10
2.052E-06 2.879E-03 2.086E-01 9.978E-07 2.344E-10 2.305E-06 1.828E-07 1.295E-16 3.752E-20 4.000E-10 4.622E-15 2.367E-32 7.192E-16 1.823E-16 1.586E-31 2.328E-06 8.340E-10
1.857E-06 3.511E-03 2.082E-01 9.467E-07 1.981E-10 2.512E-06 1.811E-07 1.176E-16 3.700E-20 3.379E-10 3.534E-15 9.213E-33 7.254E-16 1.761E-16 1.521E-31 2.352E-06 8.156E-10
1.680E-06 4.238E-03 2.079E-01 8.977E-07 1.672E-10 2.740E-06 1.793E-07 1.066E-16 3.647E-20 2.851E-10 2.699E-15 3.576E-33 7.317E-16 1.698E-16 1.459E-31 2.351E-06 7.976E-10
1.520E-06 5.069E-03 2.075E-01 8.506E-07 1.408E-10 2.990E-06 1.773E-07 9.664E-17 3.591E-20 2.403E-10 2.059E-15 1.388E-33 7.382E-16 1.633E-16 1.402E-31 2.328E-06 7.799E-10
1.376E-06 6.014E-03 2.070E-01 8.054E-07 1.184E-10 3.263E-06 1.751E-07 8.775E-17 3.533E-20 2.022E-10 1.569E-15 5.410E-34 7.448E-16 1.566E-16 1.349E-31 2.286E-06 7.625E-10
1.245E-06 7.084E-03 2.065E-01 7.621E-07 9.930E-11 3.564E-06 1.726E-07 8.016E-17 3.472E-20 1.700E-10 1.194E-15 2.126E-34 7.517E-16 1.498E-16 1.301E-31 2.227E-06 7.454E-10
1.127E-06 8.293E-03 2.059E-01 7.203E-07 8.313E-11 3.894E-06 1.700E-07 7.441E-17 3.407E-20 1.427E-10 9.072E-16 8.469E-35 7.587E-16 1.428E-16 1.258E-31 2.153E-06 7.286E-10
1.020E-06 9.653E-03 2.052E-01 6.802E-07 6.946E-11 4.257E-06 1.671E-07 7.136E-17 3.339E-20 1.197E-10 6.887E-16 3.440E-35 7.658E-16 1.357E-16 1.221E-31 2.069E-06 7.121E-10
9.227E-07 1.118E-02 2.044E-01 6.415E-07 5.792E-11 4.656E-06 1.639E-07 7.236E-17 3.266E-20 1.003E-10 5.223E-16 1.433E-35 7.729E-16 1.286E-16 1.187E-31 1.976E-06 6.960E-10
8.351E-07 1.289E-02 2.036E-01 6.042E-07 4.821E-11 5.094E-06 1.605E-07 7.921E-17 3.189E-20 8.393E-11 3.958E-16 6.148E-36 7.800E-16 1.214E-16 1.158E-31 1.877E-06 6.800E-10
7.558E-07 1.480E-02 2.026E-01 5.682E-07 4.005E-11 5.575E-06 1.566E-07 9.407E-17 3.106E-20 7.022E-11 2.998E-16 2.727E-36 7.871E-16 1.143E-16 1.133E-31 1.773E-06 6.644E-10
6.840E-07 1.693E-02 2.015E-01 5.333E-07 3.321E-11 6.102E-06 1.525E-07 1.193E-16 3.018E-20 5.874E-11 2.270E-16 1.252E-36 7.941E-16 1.073E-16 1.111E-31 1.667E-06 6.490E-10
6.190E-07 1.929E-02 2.004E-01 4.994E-07 2.750E-11 6.680E-06 1.480E-07 1.569E-16 2.925E-20 4.915E-11 1.719E-16 5.948E-37 8.010E-16 1.004E-16 1.093E-31 1.560E-06 6.338E-10
5.603E-07 2.191E-02 1.990E-01 4.666E-07 2.273E-11 7.311E-06 1.431E-07 2.086E-16 2.825E-20 4.114E-11 1.303E-16 2.915E-37 8.078E-16 9.369E-17 1.078E-31 1.453E-06 6.189E-10
5.071E-07 2.480E-02 1.976E-01 4.348E-07 1.875E-11 7.999E-06 1.378E-07 2.750E-16 2.718E-20 3.447E-11 9.881E-17 1.470E-37 8.143E-16 8.712E-17 1.065E-31 1.347E-06 6.042E-10
4.589E-07 2.798E-02 1.960E-01 4.038E-07 1.545E-11 8.746E-06 1.321E-07 3.556E-16 2.606E-20 2.892E-11 7.505E-17 7.595E-38 8.207E-16 8.073E-17 1.054E-31 1.243E-06 5.897E-10
4.154E-07 3.145E-02 1.943E-01 3.739E-07 1.271E-11 9.554E-06 1.262E-07 4.487E-16 2.489E-20 2.431E-11 5.711E-17 4.012E-38 8.269E-16 7.455E-17 1.046E-31 1.141E-06 5.755E-10
3.760E-07 3.524E-02 1.924E-01 3.450E-07 1.044E-11 1.042E-05 1.199E-07 5.515E-16 2.366E-20 2.049E-11 4.357E-17 2.162E-38 8.329E-16 6.859E-17 1.039E-31 1.043E-06 5.614E-10
3.403E-07 3.934E-02 1.903E-01 3.171E-07 8.561E-12 1.135E-05 1.134E-07 6.605E-16 2.240E-20 1.732E-11 3.334E-17 1.187E-38 8.386E-16 6.287E-17 1.034E-31 9.488E-07 5.476E-10
3.080E-07 4.376E-02 1.881E-01 2.903E-07 7.011E-12 1.234E-05 1.067E-07 7.714E-16 2.110E-20 1.469E-11 2.561E-17 6.633E-39 8.440E-16 5.741E-17 1.030E-31 8.587E-07 5.340E-10
2.788E-07 4.849E-02 1.858E-01 2.648E-07 5.733E-12 1.338E-05 9.997E-08 8.802E-16 1.979E-20 1.252E-11 1.976E-17 3.770E-39 8.492E-16 5.221E-17 1.027E-31 7.732E-07 5.206E-10
2.524E-07 5.353E-02 1.832E-01 2.405E-07 4.683E-12 1.448E-05 9.318E-08 9.831E-16 1.847E-20 1.073E-11 1.533E-17 2.181E-39 8.541E-16 4.730E-17 1.024E-31 6.927E-07 5.076E-10
2.284E-07 5.886E-02 1.806E-01 2.176E-07 3.820E-12 1.562E-05 8.646E-08 1.077E-15 1.716E-20 9.250E-12 1.196E-17 1.284E-39 8.588E-16 4.268E-17 1.022E-31 6.174E-07 4.948E-10
2.068E-07 6.447E-02 1.778E-01 1.962E-07 3.113E-12 1.679E-05 7.988E-08 1.160E-15 1.588E-20 8.026E-12 9.398E-18 7.693E-40 8.631E-16 3.835E-17 1.020E-31 5.474E-07 4.823E-10
1.872E-07 7.034E-02 1.748E-01 1.762E-07 2.534E-12 1.799E-05 7.350E-08 1.230E-15 1.462E-20 7.015E-12 7.437E-18 4.697E-40 8.671E-16 3.433E-17 1.018E-31 4.828E-07 4.701E-10
1.694E-07 7.644E-02 1.718E-01 1.577E-07 2.062E-12 1.921E-05 6.741E-08 1.288E-15 1.341E-20 6.180E-12 5.931E-18 2.922E-40 8.708E-16 3.060E-17 1.015E-31 4.237E-07 4.583E-10
1.534E-07 8.273E-02 1.686E-01 1.408E-07 1.677E-12 2.044E-05 6.164E-08 1.334E-15 1.226E-20 5.489E-12 4.770E-18 1.854E-40 8.742E-16 2.717E-17 1.012E-31 3.699E-07 4.470E-10
1.389E-07 8.916E-02 1.654E-01 1.255E-07 1.364E-12 2.166E-05 5.625E-08 1.371E-15 1.117E-20 4.917E-12 3.869E-18 1.201E-40 8.774E-16 2.403E-17 1.008E-31 3.213E-07 4.361E-10
1.257E-07 9.567E-02 1.622E-01 1.116E-07 1.110E-12 2.286E-05 5.129E-08 1.401E-15 1.015E-20 4.444E-12 3.165E-18 7.949E-41 8.802E-16 2.116E-17 1.003E-31 2.776E-07 4.258E-10
1.138E-07 1.022E-01 1.589E-01 9.936E-08 9.047E-13 2.402E-05 4.678E-08 1.430E-15 9.215E-21 4.052E-12 2.613E-18 5.387E-41 8.828E-16 1.856E-17 9.970E-32 2.387E-07 4.160E-10
1.030E-07 1.086E-01 1.557E-01 8.862E-08 7.398E-13 2.512E-05 4.277E-08 1.462E-15 8.362E-21 3.729E-12 2.178E-18 3.748E-41 8.851E-16 1.621E-17 9.892E-32 2.041E-07 4.070E-10
9.326E-08 1.148E-01 1.526E-01 7.942E-08 6.083E-13 2.613E-05 3.928E-08 1.506E-15 7.605E-21 3.465E-12 1.832E-18 2.690E-41 8.872E-16 1.411E-17 9.799E-32 1.737E-07 3.988E-10
8.443E-08 1.206E-01 1.497E-01 7.181E-08 5.048E-13 2.704E-05 3.636E-08 1.571E-15 6.955E-21 3.252E-12 1.557E-18 2.004E-41 8.891E-16 1.224E-17 9.694E-32 1.469E-07 3.916E-10
7.644E-08 1.256E-01 1.472E-01 6.584E-08 4.254E-13 2.780E-05 3.406E-08 1.674E-15 6.425E-21 3.087E-12 1.338E-18 1.567E-41 8.907E-16 1.064E-17 9.582E-32 1.235E-07 3.856E-10
6.920E-08 1.296E-01 1.452E-01 6.163E-08 3.676E-13 2.837E-05 3.242E-08 1.837E-15 6.038E-21 2.969E-12 1.165E-18 1.306E-41 8.919E-16 9.364E-18 9.476E-32 1.032E-07 3.812E-10
6.265E-08 1.319E-01 1.440E-01 5.938E-08 3.315E-13 2.869E-05 3.155E-08 2.101E-15 5.822E-21 2.905E-12 1.032E-18 1.180E-41 8.927E-16 8.554E-18 9.401E-32 8.612E-08 3.787E-10
