PRESS N2 O2 O3 H2O CH4 N2O CO2 CO
0.04294 0.7539406103 0.21 1.258E-06 7.045E-06 2.255E-05 3.567E-07 3.60E-02 2.818E-05
0.0402 0.7539407569 0.21 1.316E-06 7.051E-06 2.253E-05 3.561E-07 3.60E-02 2.799E-05
0.03764 0.7539409125 0.21 1.376E-06 7.056E-06 2.251E-05 3.555E-07 3.60E-02 2.779E-05
0.03523 0.7539410561 0.21 1.437E-06 7.062E-06 2.249E-05 3.549E-07 3.60E-02 2.76E-05
0.03297 0.7539412067 0.21 1.501E-06 7.068E-06 2.247E-05 3.543E-07 3.60E-02 2.74E-05
0.03085 0.7539413553 0.21 1.567E-06 7.074E-06 2.245E-05 3.537E-07 3.60E-02 2.72E-05
0.02885 0.7539415029 0.21 1.634E-06 7.08E-06 2.243E-05 3.531E-07 3.60E-02 2.7E-05
0.02699 0.7539416295 0.21 1.702E-06 7.086E-06 2.242E-05 3.525E-07 3.60E-02 2.681E-05
0.02524 0.7539417741 0.21 1.772E-06 7.092E-06 2.24E-05 3.519E-07 3.60E-02 2.661E-05
0.02359 0.7539419167 0.21 1.844E-06 7.098E-06 2.238E-05 3.513E-07 3.60E-02 2.641E-05
0.02205 0.7539420473 0.21 1.918E-06 7.104E-06 2.237E-05 3.507E-07 3.60E-02 2.621E-05
0.02061 0.7539421859 0.21 1.994E-06 7.11E-06 2.235E-05 3.501E-07 3.60E-02 2.601E-05
0.01925 0.7539423105 0.21 2.073E-06 7.117E-06 2.234E-05 3.495E-07 3.60E-02 2.581E-05
0.01798 0.7539424452 0.21 2.153E-06 7.123E-06 2.233E-05 3.488E-07 3.60E-02 2.56E-05
0.01679 0.7539425758 0.21 2.236E-06 7.13E-06 2.231E-05 3.482E-07 3.60E-02 2.54E-05
0.01568 0.7539427055 0.21 2.321E-06 7.136E-06 2.23E-05 3.475E-07 3.60E-02 2.519E-05
0.01464 0.7539428221 0.21 2.408E-06 7.143E-06 2.229E-05 3.469E-07 3.60E-02 2.499E-05
0.01367 0.7539429578 0.21 2.496E-06 7.15E-06 2.227E-05 3.462E-07 3.60E-02 2.478E-05
0.01276 0.7539430734 0.21 2.585E-06 7.156E-06 2.226E-05 3.456E-07 3.60E-02 2.458E-05
0.01191 0.753943186 0.21 2.676E-06 7.163E-06 2.225E-05 3.45E-07 3.60E-02 2.438E-05
0.01111 0.7539432967 0.21 2.769E-06 7.17E-06 2.224E-05 3.443E-07 3.60E-02 2.418E-05
0.01037 0.7539434063 0.21 2.864E-06 7.176E-06 2.223E-05 3.437E-07 3.60E-02 2.398E-05
0.00967 0.753943514 0.21 2.96E-06 7.183E-06 2.222E-05 3.43E-07 3.60E-02 2.378E-05
0.00902 0.7539436197 0.21 3.058E-06 7.19E-06 2.221E-05 3.423E-07 3.60E-02 2.358E-05
0.008412 0.7539437253 0.21 3.157E-06 7.196E-06 2.22E-05 3.417E-07 3.60E-02 2.338E-05
0.007844 0.753943818 0.21 3.258E-06 7.203E-06 2.219E-05 3.41E-07 3.60E-02 2.319E-05
0.007313 0.7539439206 0.21 3.36E-06 7.209E-06 2.218E-05 3.404E-07 3.60E-02 2.299E-05
0.006816 0.7539440093 0.21 3.465E-06 7.216E-06 2.217E-05 3.397E-07 3.60E-02 2.28E-05
0.006352 0.7539441059 0.21 3.572E-06 7.223E-06 2.216E-05 3.391E-07 3.60E-02 2.26E-05
0.005918 0.7539441916 0.21 3.681E-06 7.229E-06 2.215E-05 3.384E-07 3.60E-02 2.241E-05
0.005513 0.7539442652 0.21 3.791E-06 7.236E-06 2.215E-05 3.378E-07 3.60E-02 2.222E-05
0.005134 0.7539443488 0.21 3.902E-06 7.242E-06 2.214E-05 3.372E-07 3.60E-02 2.203E-05
0.00478 0.7539444305 0.21 4.014E-06 7.249E-06 2.213E-05 3.365E-07 3.60E-02 2.184E-05
0.00445 0.7539445011 0.21 4.128E-06 7.255E-06 2.212E-05 3.359E-07 3.60E-02 2.166E-05
0.004141 0.7539445687 0.21 4.244E-06 7.262E-06 2.211E-05 3.353E-07 3.60E-02 2.148E-05
0.003852 0.7539446244 0.21 4.363E-06 7.268E-06 2.211E-05 3.346E-07 3.60E-02 2.13E-05
0.003583 0.753944686 0.21 4.486E-06 7.274E-06 2.21E-05 3.34E-07 3.60E-02 2.112E-05
0.003331 0.7539447466 0.21 4.61E-06 7.28E-06 2.209E-05 3.334E-07 3.60E-02 2.094E-05
0.003097 0.7539447952 0.21 4.735E-06 7.287E-06 2.209E-05 3.328E-07 3.60E-02 2.076E-05
0.002878 0.7539448418 0.21 4.863E-06 7.293E-06 2.208E-05 3.322E-07 3.60E-02 2.059E-05
0.002674 0.7539448764 0.21 4.994E-06 7.298E-06 2.208E-05 3.316E-07 3.60E-02 2.042E-05
0.002483 0.753944917 0.21 5.128E-06 7.304E-06 2.207E-05 3.31E-07 3.60E-02 2.025E-05
0.002306 0.7539449546 0.21 5.265E-06 7.31E-06 2.206E-05 3.304E-07 3.60E-02 2.008E-05
0.00214 0.7539449812 0.21 5.403E-06 7.316E-06 2.206E-05 3.298E-07 3.60E-02 1.991E-05
0.001987 0.7539450057 0.21 5.543E-06 7.322E-06 2.205E-05 3.293E-07 3.60E-02 1.975E-05
0.001843 0.7539450293 0.21 5.685E-06 7.327E-06 2.205E-05 3.287E-07 3.60E-02 1.958E-05
0.00171 0.7539450498 0.21 5.829E-06 7.333E-06 2.204E-05 3.282E-07 3.60E-02 1.942E-05
0.001586 0.7539450594 0.21 5.975E-06 7.338E-06 2.204E-05 3.276E-07 3.60E-02 1.926E-05
0.001471 0.7539450759 0.21 6.124E-06 7.343E-06 2.203E-05 3.271E-07 3.60E-02 1.91E-05
0.001364 0.7539450785 0.21 6.276E-06 7.349E-06 2.203E-05 3.265E-07 3.60E-02 1.894E-05
0.001265 0.753945081 0.21 6.429E-06 7.354E-06 2.202E-05 3.26E-07 3.60E-02 1.879E-05
0.001173 0.7539450815 0.21 6.584E-06 7.359E-06 2.202E-05 3.255E-07 3.60E-02 1.863E-05
0.001087 0.75394509 0.21 6.741E-06 7.364E-06 2.201E-05 3.25E-07 3.60E-02 1.847E-05
0.001008 0.7539450766 0.21 6.899E-06 7.37E-06 2.201E-05 3.244E-07 3.60E-02 1.832E-05
0.0009345 0.7539450821 0.21 7.059E-06 7.375E-06 2.2E-05 3.239E-07 3.60E-02 1.816E-05
0.0008663 0.7539450756 0.21 7.221E-06 7.38E-06 2.2E-05 3.234E-07 3.60E-02 1.8E-05
0.000803 0.7539450591 0.21 7.383E-06 7.385E-06 2.2E-05 3.229E-07 3.60E-02 1.785E-05
0.0007444 0.7539450606 0.21 7.547E-06 7.39E-06 2.199E-05 3.224E-07 3.60E-02 1.769E-05
0.00069 0.7539450501 0.21 7.712E-06 7.396E-06 2.199E-05 3.219E-07 3.60E-02 1.753E-05
0.0006396 0.7539450496 0.21 7.878E-06 7.401E-06 2.198E-05 3.214E-07 3.60E-02 1.737E-05
0.0005929 0.7539450491 0.21 8.044E-06 7.406E-06 2.198E-05 3.209E-07 3.60E-02 1.72E-05
0.0005496 0.7539450376 0.21 8.211E-06 7.411E-06 2.198E-05 3.204E-07 3.60E-02 1.704E-05
0.0005093 0.7539450441 0.21 8.379E-06 7.417E-06 2.197E-05 3.199E-07 3.60E-02 1.687E-05
0.000472 0.7539450415 0.21 8.547E-06 7.422E-06 2.197E-05 3.195E-07 3.60E-02 1.67E-05
0.0004374 0.753945047 0.21 8.716E-06 7.428E-06 2.196E-05 3.19E-07 3.60E-02 1.653E-05
0.0004052 0.7539450435 0.21 8.885E-06 7.433E-06 2.196E-05 3.185E-07 3.60E-02 1.636E-05
0.0003754 0.753945049 0.21 9.054E-06 7.439E-06 2.196E-05 3.18E-07 3.60E-02 1.618E-05
0.0003477 0.7539450645 0.21 9.223E-06 7.445E-06 2.195E-05 3.175E-07 3.60E-02 1.6E-05
0.0003219 0.75394508 0.21 9.392E-06 7.451E-06 2.195E-05 3.17E-07 3.60E-02 1.581E-05
0.0002979 0.7539450964 0.21 9.56E-06 7.457E-06 2.194E-05 3.166E-07 3.60E-02 1.563E-05
0.0002757 0.7539451119 0.21 9.729E-06 7.463E-06 2.194E-05 3.161E-07 3.60E-02 1.544E-05
0.000255 0.7539451484 0.21 9.897E-06 7.469E-06 2.193E-05 3.156E-07 3.60E-02 1.524E-05
0.0002358 0.7539451799 0.21 1.006E-05 7.475E-06 2.193E-05 3.151E-07 3.60E-02 1.504E-05
0.0002179 0.7539452043 0.21 1.023E-05 7.481E-06 2.193E-05 3.147E-07 3.60E-02 1.484E-05
0.0002013 0.7539452478 0.21 1.04E-05 7.488E-06 2.192E-05 3.142E-07 3.60E-02 1.463E-05
0.0001859 0.7539452913 0.21 1.056E-05 7.495E-06 2.192E-05 3.137E-07 3.60E-02 1.442E-05
0.0001716 0.7539453458 0.21 1.073E-05 7.501E-06 2.191E-05 3.132E-07 3.60E-02 1.42E-05
