KCl - temp_cond=740, molecular_weight=74.55
Wav (microns)	n	k
3	1.4737	1.97E-10
3.2	1.47345	1.97E-10
3.4	1.473	1.97E-10
3.6	1.4728	1.97E-10
3.8	1.4725	1.97E-10
4	1.4722	1.97E-10
4.2	1.471	1.97E-10
4.4	1.471	1.97E-10
4.6	1.4712	2.11E-11
4.8	1.4708	2.11E-11
5	1.47	2.11E-11
5.2	1.47	2.11E-11
5.4	1.47	2.11E-11
5.6	1.469	2.53E-08
5.8	1.468	2.53E-08
6	1.468	2.53E-08
6.2	1.468	2.53E-08
6.4	1.3467	2.53E-08
6.6	1.467	2.53E-08
6.8	1.467	2.53E-08
7	1.467	2.53E-08
7.2	1.466	2.53E-08
7.4	1.466	2.53E-08
7.6	1.45	2.53E-08
7.8	1.464	2.53E-08
8	1.462	2.53E-08
8.2	1.462	2.53E-08
8.4	1.461	2.53E-08
8.6	1.461	2.53E-08
8.8	1.46	2.53E-08
9	1.46	2.53E-08
9.2	1.459	2.53E-08
9.4	1.458	2.53E-08
9.6	1.457	2.53E-08
9.8	1.457	2.53E-08
10	1.456	2.53E-08
10.2	1.455	2.53E-08
10.4	1.454	2.53E-08
10.6	1.454	2.53E-08
10.8	1.453	1.49E-07
11	1.452	1.49E-07
11.2	1.451	1.49E-07
11.4	1.45	1.49E-07
11.6	1.44	1.49E-07
11.8	1.445	1.49E-07
12	1.44	1.49E-07
12.2	1.447	1.49E-07
12.4	1.446	1.49E-07
12.6	1.445	1.49E-07
12.8	1.444	1.49E-07
13	1.443	1.49E-07
13.2	1.442	1.49E-07
13.4	1.441	1.49E-07
13.6	1.439	1.49E-07
13.8	1.4381	1.49E-07
14	1.4377	1.49E-07
14.2	1.436	1.14E-06
14.4	1.435	1.14E-06
14.6	1.433	1.14E-06
14.8	1.433	1.14E-06
15	1.431	1.14E-06
15.2	1.43	1.14E-06
15.4	1.42	1.14E-06
15.6	1.42	1.14E-06
15.8	1.42	1.14E-06
16	1.425	1.14E-06
16.2	1.42	1.14E-06
16.4	1.422	1.14E-06
16.6	1.421	8.76E-06
16.8	1.42	8.76E-06
17	1.418	8.76E-06
17.2	1.417	8.76E-06
17.4	1.415	8.76E-06
17.6	1.414	8.76E-06
17.8	1.412	8.76E-06
18	1.411	8.76E-06
18.2	1.409	8.76E-06
18.4	1.408	8.76E-06
18.6	1.407	8.76E-06
18.8	1.404	8.76E-06
19	1.403	8.76E-06
19.2	1.401	8.76E-06
19.4	1.399	8.76E-06
19.6	1.398	8.76E-06
19.8	1.986	8.76E-06
20	1.984	7.64E-05
20.5	1.39	7.64E-05
21	1.385	7.64E-05
