3.82319948 0.00033309 1.03471016e-02 2.19234177e-04 
3.82386566 0.00033309 1.05478608e-02 2.18569220e-04 
3.82453183 0.00033309 1.06903030e-02 2.18618267e-04 
3.82519800 0.00033309 1.04142073e-02 2.18667212e-04 
3.82586417 0.00033307 1.06843594e-02 2.18716190e-04 
3.82653031 0.00033306 1.06319356e-02 2.18765199e-04 
3.82719644 0.00033306 1.07265139e-02 2.18814237e-04 
3.82786257 0.00033306 1.06381241e-02 2.18863312e-04 
3.82852870 0.00033304 1.04851839e-02 2.18912422e-04 
3.82919477 0.00033303 1.05523490e-02 2.18961558e-04 
3.82986084 0.00033303 1.07357819e-02 2.19010727e-04 
3.83052691 0.00033303 1.08405505e-02 2.19059927e-04 
3.83119297 0.00033305 1.06523749e-02 2.19109162e-04 
3.83185908 0.00033305 1.03448513e-02 2.19158432e-04 
3.83252519 0.00033305 1.06022028e-02 2.19207739e-04 
3.83319129 0.00033305 1.06977958e-02 2.19257075e-04 
3.83385740 0.00033301 1.05154026e-02 2.19306448e-04 
3.83452342 0.00033301 1.06012941e-02 2.19355842e-04 
3.83518945 0.00033301 1.07875707e-02 2.19405278e-04 
3.83585547 0.00033301 1.02858965e-02 2.19454744e-04 
3.83652149 0.00033300 1.08898872e-02 2.19504240e-04 
3.83718750 0.00033300 1.05067499e-02 2.19553773e-04 
3.83785350 0.00033300 1.04493121e-02 2.19603388e-04 
3.83851951 0.00033300 1.03536853e-02 2.19661050e-04 
3.83918550 0.00033298 1.04433116e-02 2.19739892e-04 
3.83985146 0.00033298 1.05878108e-02 2.19818950e-04 
3.84051743 0.00033298 1.05497408e-02 2.19898096e-04 
3.84118339 0.00033297 1.07059008e-02 2.19977333e-04 
3.84184933 0.00033295 1.01582141e-02 2.20056648e-04 
3.84251523 0.00033295 1.03844074e-02 2.20136042e-04 
3.84318113 0.00033295 1.05449500e-02 2.20215528e-04 
3.84384703 0.00033296 1.07334269e-02 2.20295096e-04 
3.84451295 0.00033297 1.01037989e-02 2.20374755e-04 
3.84517889 0.00033297 1.05935910e-02 2.20454499e-04 
3.84584483 0.00033297 1.05746566e-02 2.20534334e-04 
3.84651077 0.00033295 1.06186309e-02 2.20614253e-04 
3.84717668 0.00033294 1.08023948e-02 2.20694253e-04 
3.84784256 0.00033294 1.08606427e-02 2.20774339e-04 
3.84850844 0.00033294 1.05881446e-02 2.20854511e-04 
3.84917432 0.00033293 1.04549786e-02 2.20934777e-04 
3.84984017 0.00033292 1.01979862e-02 2.21015120e-04 
3.85050601 0.00033292 1.06578999e-02 2.21095553e-04 
3.85117185 0.00033292 1.03881152e-02 2.21176070e-04 
3.85183768 0.00033290 1.04131110e-02 2.21256678e-04 
3.85250349 0.00033290 1.04460281e-02 2.21337580e-04 
3.85316929 0.00033290 1.07637148e-02 2.21449871e-04 
3.85383508 0.00033290 1.04093056e-02 2.21596920e-04 
3.85450088 0.00033287 1.04274170e-02 2.21744496e-04 
3.85516662 0.00033287 1.02572849e-02 2.21892355e-04 
3.85583236 0.00033287 1.06137206e-02 2.22040505e-04 
3.85649809 0.00033287 1.02009850e-02 2.22188953e-04 
3.85716383 0.00033289 1.03810248e-02 2.22337698e-04 
3.85782960 0.00033289 1.03828350e-02 2.22486750e-04 
3.85849537 0.00033289 1.04882126e-02 2.22636110e-04 
3.85916115 0.00033289 1.07339912e-02 2.22785763e-04 
3.85982692 0.00033286 1.01116390e-02 2.22935721e-04 
3.86049263 0.00033286 1.03408759e-02 2.23085969e-04 
3.86115834 0.00033286 1.08043755e-02 2.23236518e-04 
3.86182406 0.00033285 1.10086339e-02 2.23387376e-04 
3.86248976 0.00033284 1.04945764e-02 2.23538539e-04 
3.86315544 0.00033284 1.05107929e-02 2.23689996e-04 
3.86382111 0.00033284 1.07730756e-02 2.23841766e-04 
3.86448678 0.00033283 1.05855398e-02 2.23993846e-04 
3.86515245 0.00033283 1.05937847e-02 2.24146230e-04 
